0x01	escape pressed
xCB	(keypad) 4 released

0xCC	(keypad) 5 released
xCD	(keypad) 6 released
xCE	(keypad) + released
xCF	(keypad) 1 released

0xD0	(keypad) 2 released
xD1	(keypad) 3 released
xD2	(keypad) 0 released
xD3	(keypad) . released

0xD7	F11 released

0xD8	F12 released
						
0xE0, 0x10	(multimedia) previous track pressed
						
0xE0, 0x19	(multimedia) next track pressed
				
0xE0, 0x1C	(keypad) enter pressed
xE0, 0x1D	right control pressed
				
0xE0, 0x20	(multimedia) mute pressed
xE0, 0x21	(multimedia) calculator pressed
xE0, 0x22	(multimedia) play pressed
		
0xE0, 0x24	(multimedia) stop pressed
						
0xE0, 0x2E	(multimedia) volume down pressed
		
0xE0, 0x30	(multimedia) volume up pressed
		xE0, 0x32	(multimedia) WWW home pressed
		
0xE0, 0x35	(keypad) / pressed
				
0xE0, 0x38	right alt (or altGr) pressed
						
0xE0, 0x47	home pressed

0xE0, 0x48	cursor up pressed
xE0, 0x49	page up pressed
		xE0, 0x4B	cursor left pressed

0xE0, 0x4D	cursor right pressed
		xE0, 0x4F	end pressed

0xE0, 0x50	cursor down pressed
xE0, 0x51	page down pressed
xE0, 0x52	insert pressed
xE0, 0x53	delete pressed

0xE0, 0x5B	left GUI pressed

0xE0, 0x5C	right GUI pressed
xE0, 0x5D	"apps" pressed
xE0, 0x5E	(ACPI) power pressed
xE0, 0x5F	(ACPI) sleep pressed

0xE0, 0x63	(ACPI) wake pressed

0xE0, 0x65	(multimedia) WWW search pressed
xE0, 0x66	(multimedia) WWW favorites pressed
xE0, 0x67	(multimedia) WWW refresh pressed

0xE0, 0x68	(multimedia) WWW stop pressed
xE0, 0x69	(multimedia) WWW forward pressed
xE0, 0x6A	(multimedia) WWW back pressed
xE0, 0x6B	(multimedia) my computer pressed

0xE0, 0x6C	(multimedia) email pressed
xE0, 0x6D	(multimedia) media select pressed
				
0xE0, 0x90	(multimedia) previous track released
						
0xE0, 0x99	(multimedia) next track released
				
0xE0, 0x9C	(keypad) enter released
xE0, 0x9D	right control released
				
0xE0, 0xA0	(multimedia) mute released
xE0, 0xA1	(multimedia) calculator released
xE0, 0xA2	(multimedia) play released
		
0xE0, 0xA4	(multimedia) stop released
						
0xE0, 0xAE	(multimedia) volume down released
		
0xE0, 0xB0	(multimedia) volume up released
		xE0, 0xB2	(multimedia) WWW home released
		
0xE0, 0xB5	(keypad) / released
				
0xE0, 0xB8	right alt (or altGr) released
						
0xE0, 0xC7	home released

0xE0, 0xC8	cursor up released
xE0, 0xC9	page up released
		xE0, 0xCB	cursor left released

0xE0, 0xCD	cursor right released
		xE0, 0xCF	end released

0xE0, 0xD0	cursor down released
xE0, 0xD1	page down released
xE0, 0xD2	insert released
xE0, 0xD3	delete released

0xE0, 0xDB	left GUI released

0xE0, 0xDC	right GUI released
xE0, 0xDD	"apps" released
xE0, 0xDE	(ACPI) power released
xE0, 0xDF	(ACPI) sleep released

0xE0, 0xE3	(ACPI) wake released

0xE0, 0xE5	(multimedia) WWW search released
xE0, 0xE6	(multimedia) WWW favorites released
xE0, 0xE7	(multimedia) WWW refresh released

0xE0, 0xE8	(multimedia) WWW stop released
xE0, 0xE9	(multimedia) WWW forward released
xE0, 0xEA	(multimedia) WWW back released
xE0, 0xEB	(multimedia) my computer released

0xE0, 0xEC	(multimedia) email released
xE0, 0xED	(multimedia) media select released
				
0xE0, 0x2A, 0xE0, 0x37	print screen pressed

0xE0, 0xB7, 0xE0, 0xAA	print screen released

0xE1, 0x1D, 0x45, 0xE1, 0x9D, 0xC5	pause pressed
				
